Num_Genes,MCC,Accuracy
1,0.3112149696127399,0.7035385901365283
2,0.4699879154777089,0.770688213987183
3,0.6040530167060175,0.8255781554750626
4,0.653811958571765,0.8467539704653106
5,0.6538845048293188,0.8467539704653106
6,0.7113775283620678,0.8715519643354694
7,0.7107350367260544,0.8712733351908609
8,0.7318834901029603,0.8804680969629424
9,0.744639171106056,0.8860406798551128
10,0.7427269775273756,0.8852047924212872
11,0.7427410938175952,0.8852047924212872
12,0.754844642893294,0.8904987461688493
13,0.7675762217232938,0.8960713290610198
14,0.7657148180653037,0.8952354416271942
15,0.7726103572616966,0.898300362217888
16,0.772622219506631,0.898300362217888
17,0.7715220590676316,0.897743103928671
18,0.7847173829452517,0.90359431596545
19,0.7878686329216352,0.9049874616884926
20,0.7853537754056347,0.9038729451100586
21,0.7859901936504284,0.9041515742546671
22,0.7833713948546132,0.9030370576762329
23,0.7821134429566025,0.9024797993870158
24,0.7827829378211821,0.9027584285316244
25,0.7815497393194738,0.9022011702424073
26,0.787802910066839,0.9047088325438841
27,0.7902188390608356,0.9058233491223182
28,0.7883673206602102,0.9049874616884926
29,0.7878437198662203,0.9047088325438841
30,0.7895770542691435,0.9055447199777097
31,0.7896915474789552,0.9055447199777097
32,0.78712065094433,0.9044302033992756
33,0.7913960117299952,0.9063806074115353
34,0.793959662629943,0.9074951239899693
35,0.7977345121926424,0.9091668988576205
36,0.7927489167600908,0.9069378657007523
37,0.7933186941111204,0.9072164948453608
38,0.7916617527889519,0.9063806074115353
39,0.7923050272411636,0.9066592365561438
40,0.7980073480245599,0.9091668988576205
41,0.7980073480245599,0.9091668988576205
42,0.8035790607484189,0.9116745611590973
43,0.8047828339317102,0.9122318194483143
44,0.8072697535044937,0.9133463360267484
45,0.8090141865055211,0.914182223460574
46,0.8053127599891404,0.9125104485929229
47,0.8121121669552803,0.9155753691836166
48,0.8140583256851663,0.9164112566174422
49,0.8152407943406096,0.9169685149066592
50,0.8115366929431311,0.9152967400390081
51,0.8115698175855869,0.9152967400390081
52,0.8102595080725388,0.914739481749791
53,0.8083140361142919,0.9139035943159655
54,0.8145473846936924,0.9166898857620507
55,0.8164576667608546,0.9175257731958762
56,0.8164861159076273,0.9175257731958762
57,0.8147654604276208,0.9166898857620507
58,0.8154413118947306,0.9169685149066592
59,0.8160440744212206,0.9172471440512677
60,0.8141991638198905,0.9164112566174422
61,0.8105961555497778,0.914739481749791
62,0.8123950958528429,0.9155753691836166
63,0.8124783159734869,0.9155753691836166
64,0.8118798547559446,0.9152967400390081
65,0.8061882546513792,0.9127890777375314
66,0.8067462753708504,0.9130677068821399
67,0.807429622891672,0.9133463360267484
68,0.8066293047106257,0.9130677068821399
69,0.8103255635357972,0.914739481749791
70,0.8097208689001458,0.9144608526051825
71,0.8127501512065742,0.9158539983282251
72,0.8235674100154773,0.9205906937865701
73,0.8217614994560022,0.9197548063527445
74,0.8223628966590618,0.9200334354973531
75,0.8224010103463567,0.9200334354973531
76,0.8205209056886439,0.9191975480635275
77,0.8186403426663477,0.9183616606297018
78,0.8173228985784934,0.9178044023404848
79,0.8191677561192505,0.9186402897743104
80,0.8178900833266498,0.9180830314850933
81,0.8197713020685119,0.918918918918919
82,0.8191327542830305,0.9186402897743104
83,0.8184608915820194,0.9183616606297018
84,0.8192803119212857,0.9186402897743104
85,0.815518209493673,0.9169685149066592
86,0.816720763179055,0.9175257731958762
87,0.8192415379583432,0.9186402897743104
88,0.8167991243865691,0.9175257731958762
89,0.8161586400045382,0.9172471440512677
90,0.8173994913354429,0.9178044023404848
91,0.8174810813296695,0.9178044023404848
92,0.815001432070438,0.9166898857620507
93,0.8180004284701198,0.9180830314850933
94,0.8192803119212857,0.9186402897743104
95,0.8180397181539274,0.9180830314850933
96,0.8186403426663477,0.9183616606297018
97,0.8174396631599218,0.9178044023404848
98,0.8212005552185168,0.919476177208136
99,0.816284428089631,0.9172471440512677
100,0.821284067098192,0.919476177208136
